POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
365617-1,Insufficient Data,Hydnocarpus crassifolius Sleumer,3878222,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus crassifolius,Sleumer,ACCEPTED,3878222,;No TDWG distribution data,,,,,,,
111743-1,Insufficient Data,Hydnocarpus cucurbitina King,3878214,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus cucurbitinus,King,ACCEPTED,3878214,;No TDWG distribution data,,,,,,,
111744-1,Insufficient Data,Hydnocarpus curtisii King,3878208,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus curtisii,King,ACCEPTED,3878208,;No TDWG distribution data,,,,,,,
365618-1,Insufficient Data,Hydnocarpus dawnensis C.E.Parkinson & C.E.C.Fisch.,3878201,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus dawnensis,C.E.Parkinson & C.E.C.Fisch.,ACCEPTED,3878201,;No TDWG distribution data,,,,,,,
365619-1,Insufficient Data,Hydnocarpus elmeri Merr.,7471373,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus elmeri,Merr.,DOUBTFUL,7471373,GBIF matched name not treated as accepted;No TDWG distribution data,,,,,,,
365620-1,Insufficient Data,Hydnocarpus filipes Symington & Sleumer,3878181,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus filipes,Symington & Sleumer,ACCEPTED,3878181,;No TDWG distribution data,,,,,,,
111745-1,Insufficient Data,Hydnocarpus glaucescens Blume,3878174,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus glaucescens,Blume,ACCEPTED,3878174,;No TDWG distribution data,,,,,,,
365624-1,Insufficient Data,Hydnocarpus humei Ridl.,3878136,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus humei,Ridl.,ACCEPTED,3878136,;No TDWG distribution data,,,,,,,
111756-1,Insufficient Data,Hydnocarpus macrocarpa (Bedd.) Warb.,3878048,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus macrocarpus,Warb.,ACCEPTED,3878048,;No TDWG distribution data,,,,,,,
365628-1,Insufficient Data,Hydnocarpus merrillianus Sleumer,7724025,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus merrillianus,Sleumer,ACCEPTED,7724025,;No TDWG distribution data,,,,,,,
111758-1,Insufficient Data,Hydnocarpus nana King,3878015,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus nanus,King,ACCEPTED,3878015,;No TDWG distribution data,,,,,,,
111760-1,Insufficient Data,Hydnocarpus octandra Thwaites,3878003,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus octandrus,Thwaites,ACCEPTED,3878003,;No TDWG distribution data,,,,,,,
365636-1,Insufficient Data,Hydnocarpus pinguis Sleumer,3877964,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus pinguis,Sleumer,ACCEPTED,3877964,;No TDWG distribution data,,,,,,,
