"accepted","full_name","base_url","POWO_ID","family"
"TRUE","Aphelandra aurantiaca (Scheidw.) Lindl.","/taxon/urn:lsid:ipni.org:names:","1053173-2","Acanthaceae"
"TRUE","Aphelandra azuayensis Wassh.","/taxon/urn:lsid:ipni.org:names:","307139-2","Acanthaceae"
"TRUE","Aphelandra bahiensis (Nees) Wassh.","/taxon/urn:lsid:ipni.org:names:","16136-2","Acanthaceae"
"TRUE","Aphelandra barkleyi Leonard","/taxon/urn:lsid:ipni.org:names:","16137-2","Acanthaceae"
"TRUE","Aphelandra benoistii Wassh.","/taxon/urn:lsid:ipni.org:names:","16138-2","Acanthaceae"
"TRUE","Aphelandra blanchetiana (Nees) Hook.f.","/taxon/urn:lsid:ipni.org:names:","16139-2","Acanthaceae"
"TRUE","Aphelandra blandii Lindau","/taxon/urn:lsid:ipni.org:names:","16140-2","Acanthaceae"
"TRUE","Aphelandra botanodes Leonard","/taxon/urn:lsid:ipni.org:names:","16141-2","Acanthaceae"
"TRUE","Aphelandra boyacensis Leonard","/taxon/urn:lsid:ipni.org:names:","16142-2","Acanthaceae"
"TRUE","Aphelandra bradeana Rizzini","/taxon/urn:lsid:ipni.org:names:","16143-2","Acanthaceae"
"TRUE","Aphelandra campanensis Durkee","/taxon/urn:lsid:ipni.org:names:","16145-2","Acanthaceae"
"TRUE","Aphelandra campii Wassh.","/taxon/urn:lsid:ipni.org:names:","16146-2","Acanthaceae"
"TRUE","Aphelandra caput-medusae Lindau","/taxon/urn:lsid:ipni.org:names:","45409-1","Acanthaceae"
"TRUE","Aphelandra castanifolia Britton","/taxon/urn:lsid:ipni.org:names:","16148-2","Acanthaceae"
"TRUE","Aphelandra chamissoniana Nees","/taxon/urn:lsid:ipni.org:names:","45412-1","Acanthaceae"
